NewsID,Category,Subcategory,Title
N55528,lifestyle,lifestyleroyals,brand queen elizabeth prince charles prince philip swear
N19639,health,weightloss,worst habit belly fat
N61837,news,newsworld,cost trump aid freeze trench ukraine war
N53526,health,voices,nba wife affected mental health
N38324,health,medical,get rid skin tag according dermatologist
N2073,sports,football_nfl,nfl able fine player criticizing officiating
N49186,weather,weathertopstories,orlando hottest october ever far cooler temperature way
N59295,news,newsworld,chile three die supermarket fire amid protest
N24510,entertainment,gaming,best p game top playstation title look forward
N39237,news,newsscienceandtechnology,report weather related closing delay
N9721,health,nutrition,food never eat according health expert
N60905,autos,autosenthusiasts,trying make ram quick viper requires disassembly
N39758,health,nutrition,biggest grocery store mistake making gain weight
N28361,health,wellness,instagram filter plastic surgery inspired effect could soon disappear
N18680,health,health-news,michigan apple recall nearly crate could contaminated listeria
N55610,lifestyle,lifestyleroyals,kate middleton best hairstyle year
N35621,entertainment,celebrity,star got fired major project
N22850,travel,travelarticle,newark liberty airport terminal one billion transformative project
N58173,autos,autossuvs,gmc yukon denali
N29120,sports,football_nfl,john dorsey admits talk washington take two tango
N9786,news,newspolitics,elijah cummings lie state u capitol thursday
N47705,travel,traveltripideas,abandoned theme park explore thrill chill nostalgia
N3574,autos,autosnews,ford bronco test mule spotted flexing muscle australia
N42474,news,newsbusiness,trump trustbuster bring microsoft lesson big tech fight
N64498,sports,golf,pga tour winner
N7517,lifestyle,lifestylepetsanimals,thing never knew owl
N63665,foodanddrink,recipes,last minute idea absolutely save holiday dinner
N59469,lifestyle,lifestyleroyals,every outfit duchess kate worn
N57356,news,newsscienceandtechnology,new ipad pro release date price news leak
N15926,health,weightloss,simple diet change helped guy lose pound month
N43620,news,newsworld,without help u un climate fund struggle meet goal
N60603,entertainment,gaming,best p game play great playstation game
N40078,tv,tv-gallery,best tv reboots time
N61409,news,newsscienceandtechnology,netflix hacker steal password
N46013,foodanddrink,recipes,must try gravy recipe thanksgiving feast
N50643,weather,weathertopstories,little snow cause big mess crash minnesota road
N60723,news,newsworld,extinction rebellion win court challenge london police
N63175,sports,basketball_nba,la rivalry take new meaning fan lakers clipper hunt nba championship
N22028,lifestyle,lifestylebuzz,mom schizophrenia year old daughter missing queen
N8795,lifestyle,shop-all,thing probably buying costco
N43647,news,newsphotos,power ranking best chance becoming democratic presidential nominee
N41835,news,newsworld,today history november
N8071,lifestyle,lifestyleroyals,photo royal family balmoral castle queen elizabeth favorite home
N26926,lifestyle,voices,afraid tell male boss pregnant
N49265,foodanddrink,recipes,cranberry sauce recipe perfect thanksgiving dinner
N5124,sports,basketball_ncaa,phil fulmer blast ncaa key tennessee freshman denied eligibility
N42777,lifestyle,lifestyleroyals,prince george royal life photo
N41387,tv,tv-gallery,answer real jeopardy question tv show
N41106,sports,golf,randall rant tiger already goat without major
N37243,finance,finance-real-estate,desirable place live u
N20139,foodanddrink,quickandeasy,stuffed pasta recipe want make every night
N9680,tv,tv-celebrity,bachelor amanda stanton dating rich kid beverly hill star brendan fitzpatrick
N35518,health,voices,sorry please put purse couch
N60434,lifestyle,lifestyleroyals,corgi royal family beloved pet
N48239,autos,autosenthusiasts,toyota supra gt detail announced make horsepower
N40045,travel,travelnews,tim burton original art display neon museum la vega
N43946,movies,movies-gallery,live action disney movie work maleficent mistress evil photo
N10836,foodanddrink,tipsandtricks,genius tip make holiday much better
N49585,travel,traveltripideas,new germany low country
N24798,lifestyle,lifestylebuzz,millennials killing purse sale replacing backpack
N64668,autos,autosbuying,thing car dealership want know
N27435,sports,more_sports,locked sun wednesday sun blast king begin season
N3395,tv,tv-gallery,tv show excited rest year
N53133,lifestyle,shop-apparel,absolute best one piece bathing suit
N30702,lifestyle,voices,thing wish could tell younger self
N14538,autos,autostrucks,weird chevy colorado test mule trolling ford hq
N37188,lifestyle,lifestyledidyouknow,word phrase idea coined new york city
N1032,sports,racing,kevin harvick monster energy series victory
N30953,foodanddrink,newstrends,pcc community market plan first fast casual restaurant inside new ballard store
N10886,foodanddrink,restaurantsandnews,find good cheap sandwich every state
N52386,foodanddrink,restaurantsandnews,major chain buy plant based version fast food favorite
N22218,lifestyle,lifestylemindandsoul,hate meditating people anyway
N57388,sports,baseball_mlb,far world series one big reminder predict october baseball
N30389,entertainment,celebrity,celebrity mother daughter age
N16104,foodanddrink,restaurantsandnews,top fast food restaurant america
N25540,finance,finance-saving-investing,take heart millennials investing within reach
N51343,video,viral,viral college football fan fire past offensive tweet
N60774,video,viral,watch priest perform ispirited dance pep rally
N37129,finance,finance-taxes,like celebrity convicted tax evasion
N64723,sports,football_nfl,eye drew brees possibility return nears
N3080,foodanddrink,newstrends,restaurant satisfy late night craving louisville beyond
N40494,lifestyle,lifestyleroyals,cutest photo royal cambridge kid
N15839,autos,autossuvs,cadillac escalade interior spied real
N19163,autos,autosenthusiasts,veneno roadster one one laferrari p veyron headline car bonham auction
N13343,lifestyle,lifestylebeauty,mismatched nail idea want copy immediately
N60852,weather,weathertopstories,photo flooding across globe
N61864,news,newsopinion,news cartoon
N36064,finance,finance-companies,store closing coming list retailer closing location
N35788,autos,autosnews,extreme jeep wrangler prototype caught testing michigan
N61167,movies,movies-gallery,must see biopics
N27190,sports,football_nfl,redskin place te jordan reed injured reserve ending season
N9035,sports,football_nfl,nfl week odds point spread betting line football game
N19651,lifestyle,lifestyleshopping,product need buy life
N22957,foodanddrink,restaurantsandnews,ranking fast food fried chicken sandwich including popeyes
N63006,finance,finance-savemoney,surprising way penny pinching cost
N5159,travel,traveltripideas,fascinating story behind hocus pocus filmed
N47685,health,mentalhealth,early symptom dementia aware subtle sign
N44720,news,newsus,man killed officer involved shooting st louis
N55024,lifestyle,lifestylesmartliving,etiquette mistake need stop making age
N44162,sports,football_nfl,patriot v raven key game fun fact prediction
N52683,health,fitness,celebs best shape life
N8185,autos,autosclassics,oldsmobile toronado ultimate personal car
N1358,video,news,impeachment inquiry concern getting addressed gop nowhere go
N39817,lifestyle,shop-all,surprisingly good costco walmart target product
N54799,health,fitness,low impact workout try s anymore
N34169,lifestyle,lifestyleroyals,royal lose temper queen kate middleton
N33303,finance,finance-career,hot job pay year
N51340,lifestyle,lifestyleroyals,queen elizabeth cousin say royal family don t communicate well
N46021,health,medical,way skin react stress according dermatologist
N13855,news,newsus,ikea u president backpedals meeting parent child killed recalled dresser
N16556,news,newsus,multi vehicle accident i james city county cause mile long backup
N22679,sports,golf,dissecting softer gentler tiger wood
N24423,foodanddrink,quickandeasy,appetizer crowd easy unexpected
N20084,lifestyle,lifestylehoroscope,guess someone zodiac sign
N18393,lifestyle,lifestylehoroscope,men find attractive according zodiac sign
N7141,sports,football_nfl,ram week snap count analysis
N11663,news,newsgoodnews,college friend pledged stay touch year later still
N55435,sports,football_ncaa,photo college football cheerleader
N39173,finance,retirement,reason gen xers struggling retirement saving
N33874,lifestyle,voices,important thing fatherhood taught man
N44661,lifestyle,lifestylehomeandgarden,fall home maintenance checklist thing every year
N41976,health,ads-lung-health,study third hand smoke damage lung
N36820,finance,personalfinance,toad pasta unusual name money around world
N54727,lifestyle,lifestyleroyals,surprising age difference favorite royal couple
N11683,finance,finance-top-stocks,bp profit beat strong refining offset lower oil price
N19401,autos,autosnews,best website defacement monitoring service
N31442,foodanddrink,quickandeasy,take chicken breast frozen shredded instant
N47214,news,newspolitics,lawmaker seeking reelection congress
N31402,foodanddrink,restaurantsandnews,best seafood restaurant state
